Generated Filename,Original Lattice ID,Root Mean Square Error (Fitness)
1.vasp,0,0.00167236
2.vasp,1,0.00167727
3.vasp,2,0.00168791
4.vasp,3,0.00168807
5.vasp,4,0.00170044
6.vasp,5,0.0017083
7.vasp,6,0.00171223
8.vasp,7,0.0017169
9.vasp,8,0.00172484
10.vasp,21,0.00173245
11.vasp,9,0.00173612
12.vasp,10,0.00173889
13.vasp,11,0.00174367
14.vasp,12,0.00175733
15.vasp,13,0.00175969
16.vasp,14,0.00176037
17.vasp,15,0.00176736
18.vasp,16,0.00177098
19.vasp,17,0.00177608
20.vasp,18,0.00177659
21.vasp,19,0.00177969
22.vasp,20,0.00178043
23.vasp,22,0.0017816
24.vasp,23,0.00178219
25.vasp,24,0.00178486
26.vasp,25,0.00178592
27.vasp,43,0.00179463
28.vasp,26,0.00179494
29.vasp,27,0.00180145
30.vasp,28,0.00180343
31.vasp,29,0.00180501
32.vasp,30,0.00181256
33.vasp,31,0.00181575
34.vasp,32,0.00181581
35.vasp,33,0.00181602
36.vasp,34,0.00181604
37.vasp,35,0.00181673
38.vasp,36,0.00181811
39.vasp,199,0.00182257
40.vasp,37,0.00182443
41.vasp,38,0.00182689
42.vasp,39,0.00182733
43.vasp,40,0.00182872
44.vasp,41,0.00182898
45.vasp,42,0.00182998
46.vasp,44,0.00183453
47.vasp,45,0.0018362
48.vasp,46,0.00183785
49.vasp,47,0.00184179
50.vasp,48,0.00184225
51.vasp,49,0.00184798
52.vasp,50,0.00185015
53.vasp,51,0.00185267
54.vasp,52,0.00185346
55.vasp,53,0.00185418
56.vasp,54,0.00185467
57.vasp,55,0.00185499
58.vasp,56,0.0018579
59.vasp,57,0.00185806
60.vasp,58,0.00185809
61.vasp,59,0.00185942
62.vasp,60,0.00185962
63.vasp,61,0.00185983
64.vasp,62,0.00186073
65.vasp,63,0.00186395
66.vasp,64,0.00186404
67.vasp,65,0.00186416
68.vasp,66,0.00186438
69.vasp,67,0.00186588
70.vasp,68,0.00187222
71.vasp,69,0.00187392
72.vasp,70,0.00187397
73.vasp,71,0.00187459
74.vasp,72,0.00187849
75.vasp,73,0.00188017
76.vasp,74,0.00188773
77.vasp,75,0.00188982
78.vasp,76,0.00188998
79.vasp,77,0.00189156
80.vasp,78,0.00189162
81.vasp,79,0.00189341
82.vasp,80,0.00189373
83.vasp,81,0.00189747
84.vasp,82,0.00189788
85.vasp,83,0.00190114
86.vasp,84,0.00190152
87.vasp,85,0.00190297
88.vasp,86,0.00190521
89.vasp,87,0.00190576
90.vasp,88,0.00190846
91.vasp,89,0.00191019
92.vasp,90,0.00191204
93.vasp,91,0.00191262
94.vasp,92,0.00191552
95.vasp,93,0.0019178
96.vasp,94,0.00191798
97.vasp,95,0.00191799
98.vasp,96,0.00191811
99.vasp,97,0.00191888
100.vasp,98,0.00192817
