POSCAR,Slab,ECOOH*,GCOOH*,E_CO2,G_CO2,EH2,G_H2,deta_E_COOH,ZPE_COOH,Cp_COOH,Ts_COOH,Correction_COOH*,deta_G_COOH,sol,final,Nearest_Atom
38_Sn_47,-438.05173,-463.83312,-463.30312,-22.51,-22.76,-6.7,-7.03,0.07861,0.62,0.1,-0.19,0.53,0.77361,-0.25,0.77361,Sn
39_Sn_48,-438.05173,-463.76845,-463.23845,-22.51,-22.76,-7.04,-7.03,0.31328,0.62,0.1,-0.19,0.53,0.83828,-0.25,0.83828,Sn
40_Sn_49,-438.05173,-463.9737,-463.4437,-22.51,-22.76,-7.04,-7.03,0.10803,0.62,0.1,-0.19,0.53,0.63303,-0.25,0.63303,Sn
41_Sn_50,-438.05173,-463.88926,-463.35926,-22.51,-22.76,-7.04,-7.03,0.19247,0.62,0.1,-0.19,0.53,0.71747,-0.25,0.71747,Sn
42_Sn_51,-438.05173,-463.98969,-463.45969,-22.51,-22.76,-7.04,-7.03,0.09204,0.62,0.1,-0.19,0.53,0.61704,-0.25,0.61704,Sn
43_Sn_52,-438.05173,-463.6086,-463.0786,-22.51,-22.76,-7.04,-7.03,0.47313,0.62,0.1,-0.19,0.53,0.99813,-0.25,0.99813,Sn
45_Sn_57,-438.05173,-463.98334,-463.45334,-22.51,-22.76,-7.04,-7.03,0.09839,0.62,0.1,-0.19,0.53,0.62339,-0.25,0.62339,Sn
49_Sn_62,-438.05173,-463.6698,-463.1398,-22.51,-22.76,-7.04,-7.03,0.41193,0.62,0.1,-0.19,0.53,0.93693,-0.25,0.93693,Sn
50_Sn_63,-438.05173,-464.01284,-463.48284,-22.51,-22.76,-7.04,-7.03,0.06889,0.62,0.1,-0.19,0.53,0.59389,-0.25,0.59389,Sn
51_Sn_64,-438.05173,-463.97428,-463.44428,-22.51,-22.76,-7.04,-7.03,0.10745,0.62,0.1,-0.19,0.53,0.63245,-0.25,0.63245,Sn
52_Sn_66,-438.05173,-464.05564,-463.52564,-22.51,-22.76,-7.04,-7.03,0.02609,0.62,0.1,-0.19,0.53,0.55109,-0.25,0.55109,Sn
53_Sn_67,-438.05173,-463.90795,-463.37795,-22.51,-22.76,-7.04,-7.03,0.17378,0.62,0.1,-0.19,0.53,0.69878,-0.25,0.69878,Sn
6_Bi_6,-438.05173,-463.44541,-462.91541,-22.51,-22.76,-7.04,-7.03,0.63632,0.62,0.1,-0.19,0.53,1.16132,-0.25,1.16132,Bi
10_Bi_13,-438.05173,-463.76561,-463.23561,-22.51,-22.76,-7.04,-7.03,0.31612,0.62,0.1,-0.19,0.53,0.84112,-0.25,0.84112,Bi
11_Bi_14,-438.05173,-463.59746,-463.06746,-22.51,-22.76,-7.04,-7.03,0.48427,0.62,0.1,-0.19,0.53,1.00927,-0.25,1.00927,Bi
12_Bi_16,-438.05173,-463.44058,-462.91058,-22.51,-22.76,-7.04,-7.03,0.64115,0.62,0.1,-0.19,0.53,1.16615,-0.25,1.16615,Bi
13_Bi_17,-438.05173,-463.47852,-462.94852,-22.51,-22.76,-7.04,-7.03,0.60321,0.62,0.1,-0.19,0.53,1.12821,-0.25,1.12821,Bi
14_Bi_18,-438.05173,-463.20029,-462.67029,-22.51,-22.76,-7.04,-7.03,0.88144,0.62,0.1,-0.19,0.53,1.40644,-0.25,1.40644,Bi
15_Bi_19,-438.05173,-463.70326,-463.17326,-22.51,-22.76,-7.04,-7.03,0.37847,0.62,0.1,-0.19,0.53,0.90347,-0.25,0.90347,Bi
16_Bi_20,-438.05173,-463.59357,-463.06357,-22.51,-22.76,-7.04,-7.03,0.48816,0.62,0.1,-0.19,0.53,1.01316,-0.25,1.01316,Bi
17_Bi_21,-438.05173,-463.60802,-463.07802,-22.51,-22.76,-7.04,-7.03,0.47371,0.62,0.1,-0.19,0.53,0.99871,-0.25,0.99871,Bi
1_Bi_0,-438.05173,-463.52336,-462.99336,-22.51,-22.76,-7.04,-7.03,0.55837,0.62,0.1,-0.19,0.53,1.08337,-0.25,1.08337,Bi
2_Bi_1,-438.05173,-463.43983,-462.90983,-22.51,-22.76,-7.04,-7.03,0.6419,0.62,0.1,-0.19,0.53,1.1669,-0.25,1.1669,Bi
19_La_23,-438.05173,-464.74319,-464.21319,-22.51,-22.76,-7.04,-7.03,-0.66146,0.62,0.1,-0.19,0.53,-0.13646,-0.25,-0.13646,La
20_La_24,-438.05173,-464.74061,-464.21061,-22.51,-22.76,-7.04,-7.03,-0.65888,0.62,0.1,-0.19,0.53,-0.13388,-0.25,-0.13388,La
21_La_25,-438.05173,-464.47065,-463.94065,-22.51,-22.76,-7.04,-7.03,-0.38892,0.62,0.1,-0.19,0.53,0.13608,-0.25,0.13608,La
26_La_32,-438.05173,-464.84683,-464.31683,-22.51,-22.76,-7.04,-7.03,-0.7651,0.62,0.1,-0.19,0.53,-0.2401,-0.25,-0.2401,La
23_La_29,-438.05173,-464.56823,-464.03823,-22.51,-22.76,-7.04,-7.03,-0.4865,0.62,0.1,-0.19,0.53,0.0385,-0.25,0.0385,La
28_La_34,-438.05173,-464.35899,-463.82899,-22.51,-22.76,-7.04,-7.03,-0.27726,0.62,0.1,-0.19,0.53,0.24774,-0.25,0.24774,La
29_La_35,-438.05173,-464.13453,-463.60453,-22.51,-22.76,-7.04,-7.03,-0.0528,0.62,0.1,-0.19,0.53,0.4722,-0.25,0.4722,La
3_Bi_2,-438.05173,-464.65795,-464.12795,-22.51,-22.76,-7.04,-7.03,-0.57622,0.62,0.1,-0.19,0.53,-0.05122,-0.25,-0.05122,La
5_Bi_5,-438.05173,-464.50952,-463.97952,-22.51,-22.76,-7.04,-7.03,-0.42779,0.62,0.1,-0.19,0.53,0.09721,-0.25,0.09721,La
44_Sn_54,-438.05173,-464.59351,-464.06351,-22.51,-22.76,-7.04,-7.03,-0.51178,0.62,0.1,-0.19,0.53,0.01322,-0.25,0.01322,Sn
46_Sn_58,-438.05173,-464.77055,-464.24055,-22.51,-22.76,-7.04,-7.03,-0.68882,0.62,0.1,-0.19,0.53,-0.16382,-0.25,-0.16382,Sn
47_Sn_59,-438.05173,-464.42406,-463.89406,-22.51,-22.76,-7.04,-7.03,-0.34233,0.62,0.1,-0.19,0.53,0.18267,-0.25,0.18267,Sn
48_Sn_60,-438.05173,-464.83502,-464.30502,-22.51,-22.76,-7.04,-7.03,-0.75329,0.62,0.1,-0.19,0.53,-0.22829,-0.25,-0.22829,La
7_Bi_7,-438.05173,-463.73665,-463.20665,-22.51,-22.76,-7.04,-7.03,0.34508,0.62,0.1,-0.19,0.53,0.87008,-0.25,0.87008,Bi
8_Bi_9,-438.05173,-464.24635,-463.71635,-22.51,-22.76,-7.04,-7.03,-0.16462,0.62,0.1,-0.19,0.53,0.36038,-0.25,0.36038,Bi
9_Bi_10,-438.05173,-463.94655,-463.41655,-22.51,-22.76,-7.04,-7.03,0.13518,0.62,0.1,-0.19,0.53,0.66018,-0.25,0.66018,Bi
32_La_38,-438.05173,-464.71753,-464.18753,-22.51,-22.76,-7.04,-7.03,-0.6358,0.62,0.1,-0.19,0.53,-0.1108,-0.25,-0.1108,La
22_La_28,-438.05173,-465.24941,-464.71941,-22.51,-22.76,-7.04,-7.03,-1.16768,0.62,0.1,-0.19,0.53,-0.64268,-0.25,-0.64268,La
24_La_30,-438.05173,-465.48531,-464.95531,-22.51,-22.76,-7.04,-7.03,-1.40358,0.62,0.1,-0.19,0.53,-0.87858,-0.25,-0.87858,La
25_La_31,-438.05173,-465.4796,-464.9496,-22.51,-22.76,-7.04,-7.03,-1.39787,0.62,0.1,-0.19,0.53,-0.87287,-0.25,-0.87287,La
27_La_33,-438.05173,-466.33457,-465.80457,-22.51,-22.76,-7.04,-7.03,-2.25284,0.62,0.1,-0.19,0.53,-1.72784,-0.25,-1.72784,La
30_La_36,-438.05173,-465.35873,-464.82873,-22.51,-22.76,-7.04,-7.03,-1.277,0.62,0.1,-0.19,0.53,-0.752,-0.25,-0.752,La
33_La_39,-438.05173,-465.8374,-465.3074,-22.51,-22.76,-7.04,-7.03,-1.75567,0.62,0.1,-0.19,0.53,-1.23067,-0.25,-1.23067,La
34_La_41,-438.05173,-465.42746,-464.89746,-22.51,-22.76,-7.04,-7.03,-1.34573,0.62,0.1,-0.19,0.53,-0.82073,-0.25,-0.82073,La
35_La_42,-438.05173,-465.45865,-464.92865,-22.51,-22.76,-7.04,-7.03,-1.37692,0.62,0.1,-0.19,0.53,-0.85192,-0.25,-0.85192,La
36_La_43,-438.05173,-465.77116,-465.24116,-22.51,-22.76,-7.04,-7.03,-1.68943,0.62,0.1,-0.19,0.53,-1.16443,-0.25,-1.16443,La
37_La_44,-438.05173,-465.63314,-465.10314,-22.51,-22.76,-7.04,-7.03,-1.55141,0.62,0.1,-0.19,0.53,-1.02641,-0.25,-1.02641,La
18_La_22,-438.05173,-465.4713,-464.9413,-22.51,-22.76,-7.04,-7.03,-1.38957,0.62,0.1,-0.19,0.53,-0.86457,-0.25,-0.86457,La
