POSCAR,Slab,E_H*,G_H*,EH2,GH2,deta_E_H,deta_G_H,Nearest_Atom
1_Sn_40,-465.24078,-468.56136,-468.40136,-7.04,-7.03,0.19942,0.20442,Sn
2_Sn_41,-465.24078,-468.31587,-468.15587,-7.04,-7.03,0.44491,0.44991,Sn
3_Sn_43,-465.24078,-468.56744,-468.40744,-7.04,-7.03,0.19334,0.19834,Sn
4_Sn_44,-465.24078,-468.71435,-468.55435,-7.04,-7.03,0.04643,0.05143,Sn
5_Sn_45,-465.24078,-469.42877,-469.26877,-7.04,-7.03,-0.66799,-0.66299,Ni
6_Sn_47,-465.24078,-468.3136,-468.1536,-7.04,-7.03,0.44718,0.45218,Sn
7_Sn_48,-465.24078,-468.18481,-468.02481,-7.04,-7.03,0.57597,0.58097,Sn
8_Sn_50,-465.24078,-468.17545,-468.01545,-7.04,-7.03,0.58533,0.59033,Sn
9_Sn_51,-465.24078,-468.40448,-468.24448,-7.04,-7.03,0.3563,0.3613,Sn
10_Sn_52,-465.24078,-468.25408,-468.09408,-7.04,-7.03,0.5067,0.5117,Sn
11_Sn_53,-465.24078,-468.63669,-468.47669,-7.04,-7.03,0.12409,0.12909,Sn
12_Bi_54,-465.24078,-467.94531,-467.78531,-7.04,-7.03,0.81547,0.82047,Bi
13_Bi_55,-465.24078,-468.9078,-468.7478,-7.04,-7.03,-0.14702,-0.14202,Ni
14_Bi_56,-465.24078,-468.32013,-468.16013,-7.04,-7.03,0.44065,0.44565,Sn
15_Bi_57,-465.24078,-468.37293,-468.21293,-7.04,-7.03,0.38785,0.39285,Bi
16_Bi_58,-465.24078,-467.71743,-467.55743,-7.04,-7.03,1.04335,1.04835,Bi
17_Bi_59,-465.24078,-468.24543,-468.08543,-7.04,-7.03,0.51535,0.52035,Bi
18_Bi_60,-465.24078,-468.30343,-468.14343,-7.04,-7.03,0.45735,0.46235,Bi
19_Bi_61,-465.24078,-468.39692,-468.23692,-7.04,-7.03,0.36386,0.36886,Bi
20_Bi_62,-465.24078,-467.85921,-467.69921,-7.04,-7.03,0.90157,0.90657,Bi
21_Bi_63,-465.24078,-468.19922,-468.03922,-7.04,-7.03,0.56156,0.56656,Bi
22_Bi_64,-465.24078,-467.50991,-467.34991,-7.04,-7.03,1.25087,1.25587,Bi
23_Bi_65,-465.24078,-468.13384,-467.97384,-7.04,-7.03,0.62694,0.63194,La
24_Bi_66,-465.24078,-468.32775,-468.16775,-7.04,-7.03,0.43303,0.43803,Sn
25_Bi_67,-465.24078,-467.94937,-467.78937,-7.04,-7.03,0.81141,0.81641,Bi
1_La_0,-465.24078,-468.84005,-468.68005,-7.04,-7.03,-0.07927,-0.07427,Sn
2_La_1,-465.24078,-468.10513,-467.94513,-7.04,-7.03,0.65565,0.66065,La
3_La_2,-465.24078,-469.43041,-469.27041,-7.04,-7.03,-0.66963,-0.66463,Ni
4_La_3,-465.24078,-468.55035,-468.39035,-7.04,-7.03,0.21043,0.21543,Sn
5_La_4,-465.24078,-469.16775,-469.00775,-7.04,-7.03,-0.40697,-0.40197,Co
6_La_5,-465.24078,-469.16355,-469.00355,-7.04,-7.03,-0.40277,-0.39777,La
7_La_6,-465.24078,-468.72176,-468.56176,-7.04,-7.03,0.03902,0.04402,Sn
9_La_8,-465.24078,-468.37515,-468.21515,-7.04,-7.03,0.38563,0.39063,Bi
10_Ni_38,-465.24078,-468.90174,-468.74174,-7.04,-7.03,-0.14096,-0.13596,Ni
11_Ni_39,-465.24078,-469.42957,-469.26957,-7.04,-7.03,-0.66879,-0.66379,Ni
13_La_12,-465.24078,-467.87082,-467.71082,-7.04,-7.03,0.88996,0.89496,La
14_La_13,-465.24078,-468.20639,-468.04639,-7.04,-7.03,0.55439,0.55939,Bi
15_Co_22,-465.24078,-469.17527,-469.01527,-7.04,-7.03,-0.41449,-0.40949,Co
16_Co_24,-465.24078,-469.23619,-469.07619,-7.04,-7.03,-0.47541,-0.47041,Co
12_La_11,-465.24078,-467.89036,-467.73036,-7.04,-7.03,0.87042,0.87542,La
