POSCAR,Slab,E_H*,G_H*,EH2,GH2,deta_E_H,deta_G_H
10_Bi_0,-374.16975,-376.74868,-376.58868,-7.04,-7.03,0.94107,1.09607
1_Bi_37,-374.16975,-376.95169,-376.79169,-7.04,-7.03,0.73806,0.89306
2_Bi_7,-374.16975,-376.95745,-376.79745,-7.04,-7.03,0.7323,0.8873
3_Bi_66,-374.16975,-376.93556,-376.77556,-7.04,-7.03,0.75419,0.90919
4_Bi_18,-374.16975,-376.96171,-376.80171,-7.04,-7.03,0.72804,0.88304
5_Bi_25,-374.16975,-376.96461,-376.80461,-7.04,-7.03,0.72514,0.88014
6_Bi_36,-374.16975,-376.97251,-376.81251,-7.04,-7.03,0.71724,0.87224
7_Bi_27,-374.16975,-376.93954,-376.77954,-7.04,-7.03,0.75021,0.90521
8_Bi_16,-374.16975,-376.89234,-376.73234,-7.04,-7.03,0.79741,0.95241
9_Bi_5,-374.16975,-376.96763,-376.80763,-7.04,-7.03,0.72212,0.87712
10_Co_39,-474.9927,-483.95909,-483.79909,-7.04,-7.03,-5.44639,-5.29139
1_Co_38,-474.9927,-480.84332,-480.68332,-7.04,-7.03,-2.33062,-2.17562
2_Co_60,-474.9927,-484.282,-484.122,-7.04,-7.03,-5.7693,-5.6143
3_Co_23,-474.9927,-485.1002,-484.9402,-7.04,-7.03,-6.5875,-6.4325
4_Co_55,-474.9927,-485.12196,-484.96196,-7.04,-7.03,-6.60926,-6.45426
5_Co_67,-474.9927,-479.78888,-479.62888,-7.04,-7.03,-1.27618,-1.12118
6_Co_53,-474.9927,-485.01124,-484.85124,-7.04,-7.03,-6.49854,-6.34354
7_Co_58,-474.9927,-483.38564,-483.22564,-7.04,-7.03,-4.87294,-4.71794
8_Co_1,-474.9927,-480.27346,-480.11346,-7.04,-7.03,-1.76076,-1.60576
9_Co_27,-474.9927,-483.01342,-482.85342,-7.04,-7.03,-4.50072,-4.34572
10_La_37,-495.988,-499.16818,-499.00818,-7.04,-7.03,0.33982,0.49482
1_La_62,-495.988,-507.00461,-506.84461,-7.04,-7.03,-7.49661,-7.34161
2_La_47,-495.988,-506.96671,-506.80671,-7.04,-7.03,-7.45871,-7.30371
3_La_36,-495.988,-506.96803,-506.80803,-7.04,-7.03,-7.46003,-7.30503
4_La_61,-495.988,-499.16679,-499.00679,-7.04,-7.03,0.34121,0.49621
5_La_42,-495.988,-507.00444,-506.84444,-7.04,-7.03,-7.49644,-7.34144
6_La_21,-495.988,-507.21135,-507.05135,-7.04,-7.03,-7.70335,-7.54835
7_La_0,-495.988,-504.78632,-504.62632,-7.04,-7.03,-5.27832,-5.12332
8_La_45,-495.988,-506.94981,-506.78981,-7.04,-7.03,-7.44181,-7.28681
9_La_9,-495.988,-507.21788,-507.05788,-7.04,-7.03,-7.70988,-7.55488
10_Ni_51,-380.35084,-388.58963,-388.42963,-7.04,-7.03,-4.71879,-4.56379
1_Ni_63,-380.35084,-388.54843,-388.38843,-7.04,-7.03,-4.67759,-4.52259
2_Ni_54,-380.35084,-387.83957,-387.67957,-7.04,-7.03,-3.96873,-3.81373
3_Ni_52,-380.35084,-383.48508,-383.32508,-7.04,-7.03,0.38576,0.54076
4_Ni_21,-380.35084,-388.52019,-388.36019,-7.04,-7.03,-4.64935,-4.49435
5_Ni_49,-380.35084,-388.5962,-388.4362,-7.04,-7.03,-4.72536,-4.57036
6_Ni_35,-380.35084,-383.77465,-383.61465,-7.04,-7.03,0.09619,0.25119
7_Ni_60,-380.35084,-388.52045,-388.36045,-7.04,-7.03,-4.64961,-4.49461
8_Ni_29,-380.35084,-388.52271,-388.36271,-7.04,-7.03,-4.65187,-4.49687
9_Ni_66,-380.35084,-383.48595,-383.32595,-7.04,-7.03,0.38489,0.53989
10_Sn_61,-335.87243,-338.6999,-338.5399,-7.04,-7.03,0.69253,0.84753
1_Sn_26,-335.87243,-338.74369,-338.58369,-7.04,-7.03,0.64874,0.80374
2_Sn_25,-335.87243,-338.8469,-338.6869,-7.04,-7.03,0.54553,0.70053
3_Sn_65,-335.87243,-338.77714,-338.61714,-7.04,-7.03,0.61529,0.77029
4_Sn_24,-335.87243,-338.73424,-338.57424,-7.04,-7.03,0.65819,0.81319
5_Sn_2,-335.87243,-338.77549,-338.61549,-7.04,-7.03,0.61694,0.77194
6_Sn_60,-335.87243,-338.78092,-338.62092,-7.04,-7.03,0.61151,0.76651
7_Sn_10,-335.87243,-338.63427,-338.47427,-7.04,-7.03,0.75816,0.91316
8_Sn_39,-335.87243,-338.7029,-338.5429,-7.04,-7.03,0.68953,0.84453
9_Sn_44,-335.87243,-338.69823,-338.53823,-7.04,-7.03,0.6942,0.8492
