Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH,flag_OCHO_vs_COOH
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-18_Bi_60,COOH,0.9966303619770182,0.6048200000000082,0.7728299999999666,1.0
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-18_Bi_60,COOH,1.0,0.3827199999999965,0.7728299999999666,1.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-15_Co_22,COOH,0.9334300936333372,-0.3868000000000035,-0.9748600000000676,0.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-16_Co_24,COOH,0.9050209958976532,-0.3868000000000035,-0.6928800000000348,0.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-16_Co_24,COOH,0.970598826353902,-0.9097200000000026,-0.6928800000000348,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-16_Co_24,COOH,0.9717091250154609,-0.8535900000000066,-0.6928800000000348,1.0
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-17_Bi_59,COOH,0.9116874714218933,-1.049940000000002,0.2918099999999657,1.0
La,CONTCAR-12_La_13-4_Sn_47,OCHO,CONTCAR-25_Bi_67,COOH,0.9604957549800001,-0.7025400000000087,0.9011699999999467,1.0
La,CONTCAR-1_La_0-3_La_4,OCHO,CONTCAR-1_La_0,COOH,0.9260692559146432,-1.248890000000027,0.1866199999999725,1.0
La,CONTCAR-1_La_0-4_Sn_45,OCHO,CONTCAR-1_La_0,COOH,0.9126421623147178,-1.284920000000009,0.1866199999999725,1.0
La,CONTCAR-2_La_1-3_Sn_50,OCHO,CONTCAR-8_Sn_50,COOH,0.948703475820692,-0.8029500000000195,0.1571299999999627,1.0
La,CONTCAR-31_Bi_57-1_Bi_59,OCHO,CONTCAR-15_Bi_57,COOH,0.9356564421000203,-0.6648400000000362,0.5663299999999611,1.0
La,CONTCAR-31_Bi_57-2_Bi_66,OCHO,CONTCAR-15_Bi_57,COOH,0.9031030919533722,-0.785149999999997,0.5663299999999611,1.0
La,CONTCAR-6_La_5-5_Bi_66,OCHO,CONTCAR-15_Bi_57,COOH,0.9031030919533722,-0.7809500000000281,0.5663299999999611,1.0
Sn,CONTCAR-18_Sn_41-1_Bi_56,OCHO,CONTCAR-2_Sn_41,COOH,0.9790729464256016,0.1909099999999642,0.5422799999999728,1.0
Sn,CONTCAR-19_Sn_43-2_Sn_53,OCHO,CONTCAR-11_Sn_53,COOH,1.0,-0.06531000000002055,0.5377299999999212,1.0
Sn,CONTCAR-24_Sn_50-1_Sn_51,OCHO,CONTCAR-9_Sn_51,COOH,0.9839588280098602,0.2291499999999945,0.833489999999951,1.0
Sn,CONTCAR-25_Sn_51-1_Sn_53,OCHO,CONTCAR-11_Sn_53,COOH,0.9974282623221371,0.01902999999997687,0.5377299999999212,1.0
Sn,CONTCAR-25_Sn_51-2_Bi_66,OCHO,CONTCAR-9_Sn_51,COOH,0.9839588280098602,0.229229999999963,0.833489999999951,1.0
Sn,CONTCAR-27_Sn_53-1_Bi_63,OCHO,CONTCAR-11_Sn_53,COOH,0.9974282623221371,-0.04406000000001145,0.5377299999999212,1.0
