elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H,selectivity_flag
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-3_Bi_66,H,0.9901656706693147,0.1415000000000549,0.7591900000000374,1.0
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-9_Bi_5,H,0.9908320094525644,0.1415000000000549,0.7271200000000614,1.0
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-10_Bi_0,H,0.9899964489740087,0.2704000000000423,0.946070000000068,1.0
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-6_Bi_36,H,0.9667327778873955,0.2505500000000228,0.7222400000000472,1.0
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-8_Bi_16,H,0.920819391754492,0.2505500000000228,0.8024100000000568,1.0
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-1_Co_38,H,0.9792078607874608,-6.972099999999964,-2.325619999999967,1.0
Co,CONTCAR-10_Co_38-1_Co_67,OCHO,CONTCAR-5_Co_67,H,0.9858936615770074,-6.972099999999964,-1.2711799999999673,1.0
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-2_Co_60,H,0.919475641724218,-4.299059999999949,-5.764299999999944,0.0
Co,CONTCAR-5_Co_34-1_Co_60,OCHO,CONTCAR-2_Co_60,H,0.9053764016015572,-4.952319999999995,-5.764299999999944,0.0
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-1_Co_38,H,0.9929723277530256,-4.704169999999985,-2.325619999999967,1.0
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-5_Co_67,H,0.9148757134962121,-4.704169999999985,-1.2711799999999673,1.0
Co,CONTCAR-9_Co_8-1_Co_65,OCHO,CONTCAR-10_Co_39,H,0.9013583105186195,-7.346909999999989,-5.441389999999965,1.0
La,CONTCAR-1_La_64-1_La_65,OCHO,CONTCAR-7_La_0,H,0.9012413639089611,-9.733550000000045,-5.2733199999999645,1.0
La,CONTCAR-6_La_51-1_La_21,OCHO,CONTCAR-6_La_21,H,0.9945911131804851,-7.842440000000019,-7.698349999999957,1.0
La,CONTCAR-7_La_36-1_La_58,OCHO,CONTCAR-3_La_36,H,0.9930504898055925,-9.865789999999956,-7.455029999999974,1.0
La,CONTCAR-9_La_14-1_La_36,OCHO,CONTCAR-3_La_36,H,0.9506131889441498,-6.263379999999993,-7.455029999999974,0.0
Ni,CONTCAR-2_Ni_58-1_Ni_62,OCHO,CONTCAR-3_Ni_52,H,0.9068327573399196,-4.891969999999967,0.39076000000004807,1.0
Ni,CONTCAR-6_Ni_23-1_Ni_39,OCHO,CONTCAR-3_Ni_52,H,0.9007638889658254,-2.2145400000000093,0.39076000000004807,1.0
Ni,CONTCAR-9_Ni_9-1_Ni_18,OCHO,CONTCAR-2_Ni_54,H,0.9920457792791599,-5.25633,-3.9637299999999502,1.0
Sn,CONTCAR-2_Sn_39-1_Sn_54,OCHO,CONTCAR-8_Sn_39,H,0.9768359161807518,0.4355800000000062,0.694530000000034,1.0
Sn,CONTCAR-4_Sn_10-1_Sn_12,OCHO,CONTCAR-7_Sn_10,H,0.9824415526907462,0.30933000000003574,0.7631600000000186,1.0
Sn,CONTCAR-8_Sn_26-1_Sn_42,OCHO,CONTCAR-1_Sn_26,H,0.9520416413782333,0.2829400000000436,0.6537400000000185,1.0
